Smiles,IC50,pIC50
COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2CC(=O)OC(C)(C)C,1000.0,6.0
c1cc(-c2nccs2)nc(Nc2ccc(OCC3CCCCC3)cc2)n1,2000.0,5.698970004336019
CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)NCC#Cc1ccc(C(=O)NCC#Cc2ccc(C(=O)N[C@@H](Cc3ccc(OP(=O)(O)O)cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O)cc2)cc1)[C@@H](C)O,100.0,7.0
Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(OCCC3CCN(C)CC3)c(C(=O)O)c2)c1,455.3,6.34170234969181
Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)c1,1663.0,5.779107750780481
Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cccc(NS(=O)(=O)c3ccc4ccccc4c3)c2)c1,9926.0,5.003225729138696
CC(=O)C(C)(c1ccc(-c2cc(C)cc(Nc3cc(C(F)F)ccn3)n2)cn1)C1CCC(C(=O)O)CC1,1.0,9.0
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(N3CCCC(NC(=O)OC(C)(C)C)C3)nc2)c1,271.0,6.567030709125595
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(N3CCN(C(=O)N4CCCC(C(=O)O)C4)CC3)nc2)c1,2.0,8.698970004336019
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(NC3CCN(C(=O)c4cnc5ccc(F)cc5c4)CC3)nc2)c1,8.0,8.096910013008056
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(NC3CCN(C(=O)c4ccc5c(c4)CNC5=O)CC3)nc2)c1,2.0,8.698970004336019
Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(NC3CCN(C(=O)c4cc5ccccc5cn4)CC3)nc2)c1,4.0,8.397940008672037
Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2ccc(OCCCc3ccccc3)c(C(=O)O)c2)c1,45.5,7.341988603342887
